video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"5YM91rW1Cbk","Astrit Mulaj - Hupi Kontrolla","2020-08-31T16:00:11Z","UC2NIkvbU4bDxHk9HC0h0xGQ","XIXA Music","24","23.03.12","jolla jolla|ilir berani|astrit|Xixa|2021|2020|production|Kenge popullore|hit|Hitet 2021|produksioni|belholla|hup kontrolla|Hitet shqip|mulaj|ti mu mdon|xixa|new|dasma|shqip|hupi kontrolla|onair|jolla|gili|2019|tiktok|kenge|popullore|Muzik shqip|dasmash|aman|kenget|Muzik popullore|te reja|hitet|meme|kur me sheh shpirti tlshon|hite|onair popullore|e hupi kontrollen|e re|muzik|hupi kontrollen","1031456","0","0","187","https://i.ytimg.com/vi/5YM91rW1Cbk/default.jpg","False","True","Muzika & tekstiILIR  BERANIOrkestrimiMITI  GECIXIXA MUSICAll rights reserved : Ilir Berani (c)Publisher: OnAir Music Inc (p)Facebook: http://www.facebook.com/Giliofficial #muzik #popullore #shqip"
"1vW44sPM1X8","Pt.1 Shimano LX M563 3 speed shifter : Dissembled Service overhaul rebuild","2022-03-30T21:52:22Z","UC--QisWJrXghC2ja9fxHisw","ATBOY","26","23.03.12","[none]","1144","0","0","9","https://i.ytimg.com/vi/1vW44sPM1X8/default.jpg","False","True","So in 1994 you had 3 models of shifter for the LX group. M560, M563 and M564. Much like the LX M564 shifters, these slightly differ. The brake levers are not removable notably, whereas from what I can remember, the M564’s are. M564’s are servo wave, whilst these are not. The M560’s had no dial indicateurs, which I prefer. In 1995, you had 4 models of LX shifters. This is part 1 of the shifter rebuild. Part 2 is the 7 speed side. I've got more bike parts than bikes! This channel gives me a reason to buy another bike part and to keep working on bikes. Une raison d'etre if you will. Please suscribe if I helped you, so I can make longer videos instead of making 2 part videos.Love bikes, components aswell as the history of cycling. Specifically 1980's and 1990's MTB's. Something about the adventure, using a 2 wheeled device that allows you to freely go where you want,  was my attraction to cycling."
"LmTXmOH6M_I","Machine Gun Kelly - why are you here [Official Music Video]","2020-03-04T22:38:43Z","UC2a9zmrdjvLsrRgi4G4blWw","MGKVEVO","10","23.03.12","Machine|Gun|Kelly|why|are|you|here|Bad|Boy/Interscope|Records|Alternative","33261663","0","0","13947","https://i.ytimg.com/vi/LmTXmOH6M_I/default.jpg","False","True","Machine Gun Kelly - why are you here is available now: https://smarturl.it/whyareyouhere Directed by Miles & AJ Produced by: Kai YuricichExecutive Producers: Austin Barbera & Jake Krask @SixTwentySix ProductionsDP: Russ FraserProduction Designer: Kendra BradaniniEditor: Miles CableColorist: Josh Bohoskey @themill NYC Follow Machine Gun Kelly:https://www.instagram.com/machinegunkellyhttps://www.facebook.com/machinegunkellymusichttps://twitter.com/machinegunkelly #MachineGunKelly #WhyAreYouHere #MGKMusic video by Machine Gun Kelly performing why are you here. © 2020 Bad Boy/Interscope Records"
"v59NGdOyVgA","Montenegro 🇲🇪 Beautiful Road Trip | Crna Gora: prekrasno putovanje","2022-10-13T02:50:30Z","UCfz4YkjyThCVGyQaQWtuO5Q","RTAW","22","23.03.12","[none]","214","0","0","4","https://i.ytimg.com/vi/v59NGdOyVgA/default.jpg","False","True",""
"VFIpJZn7B08","L'avenir est ici","2023-05-26T17:57:07Z","UCwMVg6bhQmbjnNffViputxw","UQAC","24","23.03.12","[none]","14231","0","0","0","https://i.ytimg.com/vi/VFIpJZn7B08/default.jpg","True","True","Admission automne 2023 encore possible!  Des arts au génie, en passant par la santé et le jeu vidéo, l’UQAC offre plus de 200 programmes d’études dans un milieu de vie en perpétuelle effervescence.Renseignez-vous sur les programmes encore ouverts à l'admission pour l'automne prochain.Consulter les programmes 👉 https://www.uqac.ca/programmes/Déposer une demande d'admission 👉 https://www.uqac.ca/registraire/admission/Besoin d'informations 👉 https://www.uqac.ca/a-la-rencontre-des-futurs-etudiants/#consultation-individuelleÉtudiants internationaux 👉 https://international.uqac.ca/etudier-a-luqac/"
"978pzd5Ss3c","HNY2214 Yaj Yuab Muaj Siab","2021-12-18T13:40:40Z","UCcDv8SAGNPudmflw0JZjjGQ","farginboard","24","23.03.12","[none]","2289","0","0","0","https://i.ytimg.com/vi/978pzd5Ss3c/default.jpg","False","True","A whopping 10 person dance group! Yaj Yuab Muaj Siab delivers a charming dance performance to Rov Tuaj Txog."
"LqO5MlcU1ZM","2023 Mercedes-Benz GLS 63 AMG (634 HP)","2023-02-12T08:47:21Z","UCyTHPMMaGFcc0tGFTEAaZ9w","CarReviews EU","2","23.03.12","2023 Mercedes-Benz GLS 63 AMG (634 HP)|2023 Mercedes-Benz GLS 63 AMG (634 HP) review|Mercedes-Benz GLS 63 AMG|Mercedes-Benz GLS 63 AMG sound|Mercedes-Benz GLS 63 AMG exhaust|gls 63 amg|gls 63 amg interior|gls 63 amg specs price|gls 63 amg obsidian black|gls 63 amg 2023|mercedes amg|2023 mercedes-benz gls 63 amg (634 hp) review|mercedes glc 2023|gls 63 amg carwow|amg gls 63 review","65697","0","0","17","https://i.ytimg.com/vi/LqO5MlcU1ZM/default.jpg","False","True","2023 Mercedes-Benz GLS 63 AMG (634 HP) in Obsidian BlackEUROLUXX GmbHAm Anger 38, 91052 ErlangenMob.: +4917678018460 (WhatsApp)https://www.instagram.com/euroluxxgmbh/*Kraftstoffverbrauch / Fuel consumption:11,9 ​l/100 km (kombiniert/combined)16,0 l/100 km (innerorts/urban)9,7 l/100 km (außerorts/extra-urban)CO2-Emission / CO2 emission: 275 g/km (kombiniert/combined)Schadstoffklasse: Euro 6d-ISC-FCM (WLTP)Kraftstoffart/Fuel: Benzin/PetrolUmweltplakette / Environmental badge: 4 (Grün/Green)Effizienzklasse: DLeistung / Power: 466 kW / 634 HPDrehmoment / Torque: 850 Nm or 627 lb-ftAntriebsart / Drivetrain: AWDGetriebe / Transmission: 9 Speed AutomaticGeschwindigkeit / Top Speed: 250 km/h or 155 mp/hBeschleunigung / Acceleration: 4,2 sHubraum / Engine capacity: 3982 cm3Leergewicht / Curb Weight: 2630 kg / 5798 lbsPower-Output ratio: 4,14 kg/hpLänge / Lenght: 5207 mmBreite / Width: 1956 mmHöhe / Height: 1823 mmPrice: ca 230 000 €_________________________________________________WATCH MY TOP 10 VIDEOS:1. 2021 JAGUAR F-Pace P400 R-Dynamic (400 HP) by CarReviews EUhttps://youtu.be/O8ekVPWuP0M2. 2021 Audi RS Q8 (600 HP) by CarReviews EUhttps://youtu.be/KiaZgc-6nx83. 2021 Hyundai SANTA FE 2.2 CRDi Signature (202 HP) by CarReviews EUhttps://youtu.be/caaJyVQMd9I4. 2021 Maserati LEVANTE Trofeo Q4 (580 HP) by CarReviews EUhttps://youtu.be/_9-lhUA2ZhA5. 2019 Honda Civic TYPE-Rhttps://youtu.be/O2Wg3wyeap86. 2020 Jeep WRANGLER Unlimited JL SAHARA 2.0https://youtu.be/Enuq55yNgLo7. 2020 Seat LEON FR 1.5 eTSI (150 HP)https://youtu.be/3m3wdSlcxOk8. 2021 VW Golf 8 1.5 eTSI R-Line (150 HP) by CarReviews EUhttps://youtu.be/ewaEAnLx76I9. 2021 Skoda OCTAVIA RS 1st Edition (245 HP) by CarReviews EUhttps://youtu.be/aaFPzTpZdpU10. 2020 BMW X6 xdrive 40i M Sporthttps://youtu.be/687LOLF5clgTurkey — Amine Maxwell [Audio Library Release]Music provided by Audio Library PlusWatch: https://youtu.be/tBBA7Vb8CL0Free Download / Stream: https://alplus.io/turkeyTrack: GalaxyTones - Feel It NowStream/Download: https://galaxytones.fanlink.to/feelitnow*Weitere Informationen zum offiziellen Kraftstoffverbrauch, den offiziellen spezifischen CO2-Emissionen und dem Stromverbrauch neuer Personenkraftwagen können dem Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen entnommen werden, der an allen Verkaufsstellen, bei der Deutschen Automobil Treuhand GmbH (DAT), Hellmuth-Hirth-Str. 1, 73760 Ostfildern-Scharnhausen, und online und online unter www.dat.de unentgeltlich erhältlich ist."
"7mrr6A-uFMQ","Person dies on BART tracks at Richmond station","2021-09-23T17:00:13Z","UCVhtkN7-c8mA8GXEoxS4YQw","KTVU FOX 2 San Francisco","25","23.03.12","KTVU|BART|BART fatality|Richmond CA|Bay Area news","6484","0","0","26","https://i.ytimg.com/vi/7mrr6A-uFMQ/default.jpg","False","True","The Richmond BART station was closed Thursday morning after a person died on the train tracks, BART said.Subscribe to KTVU's YouTube channel:https://www.youtube.com/channel/UCVhtkN7-c8mA8GXEoxS4YQw?sub_confirmation=1KTVU delivers the best in-depth reports, interviews and breaking news coverage in the San Francisco Bay Area and CaliforniaWatch KTVU's newscasts on https://www.ktvu.com/liveDownload KTVU's news and weather apps for free at https://www.ktvu.com/mobile-appsSubscribe to KTVU's newsletter at https://www.ktvu.com/newslettersFollow KTVU on Facebook: https://www.facebook.com/ktvuFollow KTVU on Twitter: https://twitter.com/KTVUFollow KTVU on Instagram: https://www.instagram.com/ktvu2/"
video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"_ekbRf-XzCU","How to learn algebra by Rekha Bisht  part-3","2023-06-09T12:26:36Z","UCgsTP6IwVmHjenfuyO8S19g","Maths with Rekha Bisht","27","23.03.12","How to learn algebra","25","0","0","0","https://i.ytimg.com/vi/_ekbRf-XzCU/default.jpg","False","True","@How to learn algebra@ How to learn algebra by Rekha Bisht"
