video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"Yc_hvj-FZVo","Pubg","2020-03-21T15:04:11Z","UCUBCtl9VzbuytT7XpdQuAYw","hunk 90pubg","22","23.30.11","[none]","74","0","0","2","https://i.ytimg.com/vi/Yc_hvj-FZVo/default.jpg","False","True","Hunk 90 and team"
"IqtdNo-3Rgk","😕","2023-07-16T03:01:27Z","UCA5E5B-xn08IwpObQTmN-Og","🤍Georgia🤍","22","23.30.11","[none]","29","0","0","0","https://i.ytimg.com/vi/IqtdNo-3Rgk/default.jpg","False","True",""
"XumBlTnoOq0","DC UNIVERSE: REBORN IS FINALLY HERE...","2022-03-16T17:19:20Z","UCscKnGM_aTTHJbt-fc_vfmg","Clickster","20","23.30.11","Iron Man Simulator 2|iron man simulator 2 roblox|spiderman no way home|spiderman no way home roblox|iron man simulator 2020|iron man simulator 2 mobile|iron man simulator 2 roblox mobile|iron man simulator 2 all suits|Iron Man Simulator 2 Mark 85|Iron Man Simulator 2 Nanotech|iron man simulator roblox|iron man simulator 2 update|iron man simulator 2 roblox controls|iron man simulator roblox war machine|iron man simulator roblox glitches|IMS2|IMS|IMS roblox","34015","0","0","146","https://i.ytimg.com/vi/XumBlTnoOq0/default.jpg","False","True","DC UNIVERSE: REBORN IS FINALLY HERE...🦸‍♂️DC Universe: Reborn Testing - https://www.roblox.com/games/9093399875/DCUR-Testing🦹‍♀️DC Universe: Reborn Alpha - https://www.roblox.com/games/6861818053/DC-Universe-Reborn-ALPHA-RELEASE🆂🅾🅲🅸🅰🅻🆂👻𝔻𝕚𝕤𝕔𝕠𝕣𝕕 𝕊𝕖𝕣𝕧𝕖𝕣 - https://discord.gg/3uDJNp2fTY🐦𝕋𝕨𝕚𝕥𝕥𝕖𝕣 - https://twitter.com/CLICXBAIT​​🟪𝕋𝕨𝕚𝕥𝕔𝕙 - https://www.twitch.tv/clickballt🆁🅾🅱🅻🅾🆇🤵ℙ𝕣𝕠𝕗𝕚𝕝𝕖 - https://www.roblox.com/users/110550677/profile👨‍👩‍👦‍👦𝔾𝕣𝕠𝕦𝕡 - https://www.roblox.com/groups/5311361/CLICKBAIT-GANG#!/about👑𝕄𝕖𝕣𝕔𝕙 - https://www.roblox.com/groups/5311361/CLICKBAIT-GANG#!/store🅾🆃🅷🅴🆁👕𝕄𝕖𝕣𝕔𝕙 - https://streamlabs.com/clicxbait1/merch📺𝕎𝕒𝕥𝕔𝕙 𝕄𝕠𝕣𝕖 - https://www.youtube.com/channel/UCscKnGM_aTTHJbt-fc_vfmg?view_as=subscriber🌟𝕄𝕖𝕞𝕓𝕖𝕣 - https://www.youtube.com/channel/UCscKnGM_aTTHJbt-fc_vfmg/join✉ 𝐁𝐔𝐒𝐈𝐍𝐄𝐒𝐒 𝐄𝐌𝐀𝐈𝐋: ClickbaitBusiness@outlook.com➜ o yea I got tiktok to: @clicxster#Roblox #CLICKBAIT #DCUniverseReborn"
"qBWGKKnEZ9M","xgfu","2021-10-26T00:16:50Z","UC4MuMoKl03fG_mFHGIyqI5w","Roro Sultan","22","23.30.11","[none]","42","0","0","0","https://i.ytimg.com/vi/qBWGKKnEZ9M/default.jpg","True","True",""
"2zSx-h7zHiA","mocatiz Intro","2022-09-14T06:22:06Z","UCuzEX56T0kVMFrnqWmDTV0w","360 watt Design","1","23.30.11","[none]","65","0","0","0","https://i.ytimg.com/vi/2zSx-h7zHiA/default.jpg","False","True",""
"qKTgAvbhtLQ","DESTROY GR120+ Speeds and GR150 Bosses! Rathma Necro Army of the Dead Full Build Guide Season 27","2022-08-13T13:48:25Z","UC78d2aaqdrt02RfmtRLmlAw","wudijo","20","23.30.11","season|d3|diablo 3|diablo III|diablo3|diablo|meta|GR|GRs|Greater Rift|Greater Rifts|push|guide|leaderboard|solo|group|farm|farming|blizzard|maxroll|maxroll.gg|wudijo|update|buff|season start|D2|diablo 2|PoE|path of exile|season 26|s26|s27|season 27|PTR|public test realm|new season|new patch|buffs|nerfs|necromancer|new builds|hype|glorious|builds|planners|2.7.4|patch 2.7.4|nec|army|AotD|army of the dead|rathma|funerary pick|new build|necro|GR120|GR150|speeds","162052","0","0","122","https://i.ytimg.com/vi/qKTgAvbhtLQ/default.jpg","False","True","#Diablo3 #Season27 #PTRD3planner: https://d3.maxroll.gg/d3planner/348079052-----------Stream: https://twitch.tv/wudijoDiscord: https://discord.gg/SwZ6kv8VSm(Join for D3planners & the community there!)My second YT Channel for Path of Exile: https://www.youtube.com/channel/UCXApYvw59S9MypwdXb1Pe_wTwitter: https://twitter.com/wudijoMaxroll Website: https://maxroll.gg/(Check it out for ARPG Game & Build Guides!)Maxroll Discord: https://discord.com/invite/WBBwg5XI mainly cover Diablo 3, but also other ARPGs like Diablo 2, Last Epoch & more. Path of Exile is covered on my dedicated second YouTube channel wudijo PoE. Here I focus on providing entertainment, highlights, edited clips from my streams, game and build guides for all classes (Barbarian, Crusader, Demon Hunter, Monk, Necromancer, Witch Doctor, Wizard), rank 1 GR clears, personal achievements, memes and more! Hope you enjoy my content :)If you want to support me as a Content Creator, consider one of the following:1. Subscribe to my YouTube/Follow on Twitch & Twitter2. Become a channel Member by clicking the Join button or this link (and get unique perks!): https://www.youtube.com/channel/UC78d2aaqdrt02RfmtRLmlAw/join3. Become a Twitch Subscriber (or use your monthly free Twitch Prime if you are an Amazon Prime user)4. Donate with PayPal: https://streamelements.com/wudijo/tip 5. Like/comment/share my stuff!6. Give me feedback how to improve!"
"T3is8rnbvg4","l'UQAC au Quotidien","2023-05-05T08:22:38Z","UCwMVg6bhQmbjnNffViputxw","UQAC","24","23.30.11","[none]","450","0","0","0","https://i.ytimg.com/vi/T3is8rnbvg4/default.jpg","True","True","Les enjeux de santé s’avèrent de plus en plus complexes, particulièrement dans le contexte de changements climatiques. Cette situation demande une réflexion profonde sur la manière dont les soins de santé sont prodigués dans nos communautés. Dans l’objectif de consolider le pôle de recherche et d’innovation en santé durable à l’Université du Québec à Chicoutimi (UQAC), une unité mixte de recherche (UMR) en santé durable, une thématique prioritaire et stratégique pour le Québec, a été créé par l’Institut national de la recherche scientifique (INRS) et par l’UQAC."
"KdfV-a_xj9M","Freddy Security Guard Badge from FNAF | TimeLapse | Embroidery Design","2023-07-20T18:04:26Z","UCCzuLriv5tXQ2p9eNd6v_RQ","Shendijiro & Ura","26","23.30.11","Shendijiro & Ura|five nights at freddys security breach|fnaf security breach|five nights at freddys|iron on patches|iron on patches for jeans|iron on patches for hats|FNAF patches|FNAF crafts|five nights at freddys crafts|five nights at freddys iron on patches|embroidery design|embroidery machine","83","0","0","1","https://i.ytimg.com/vi/KdfV-a_xj9M/default.jpg","False","True","Whats up everybody? Today we bring you a time lapse of our Five Nights at Freddy's inspired security guard badge! This time is Freddy's Badge! Hope you guys like it ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥Welcome to our channel! We are Shendijiro & Ura, we love making DIY, gaming, building and unboxing videos! ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥~ Mighty Links ~ Gaming Channel: https://www.youtube.com/channel/UCQnsl_H3fXCR1N5V124dgoAGaming Facebook: https://www.facebook.com/ShendijiroUraStore: Store: https://www.ebay.com/str/dragosteartFacebook: https://www.facebook.com/DragosteArtShendijiro:Twitter: https://twitter.com/ShendijiroDeviantart: http://shendijiro.deviantart.com/Instagram: http://instagram.com/shendijiroTwitch: http://www.twitch.tv/shendijiroUra:Deviantart: http://urahameshi.deviantart.com/Twitter: https://twitter.com/UraHameshiInstagram: http://instagram.com/UrahameshiProduction Music courtesy of Youtube audio library."
"MuAsTY0uKE0","@TMxo Since I'm blocked in your chat and you're confused, here you go.","2023-05-20T17:10:26Z","UCTMzBvZfbm6HIvXA5iGcD3A","Skeelo","24","23.30.11","[none]","376","0","0","14","https://i.ytimg.com/vi/MuAsTY0uKE0/default.jpg","False","True",""
"wjGy-cpzW64","KTN YOUNGSTARS | GAKENIA MEETS THE MAN WHO CARPETS STATE HOUSE","2019-09-13T04:50:44Z","UCkWr5PLM8hp8M4WNIkjpKsQ","KTN HOME","24","23.30.11","Kenya|Kenya News|KTN Kenya|KTN News Kenya|KTN Home|Citizen TV Kenya|Citizen Kenya|NTV Kenya|NTV News|GAKENIA|YOUNGSTARS","267","0","0","0","https://i.ytimg.com/vi/wjGy-cpzW64/default.jpg","False","True","This show is produced by @Sarahkamande_SUBSCRIBE to our YouTube channel for more great videos: https://www.youtube.com/user/KTNClassics Follow us on Twitter: https://twitter.com/KTNNews  Like us on Facebook: https://www.facebook.com/KTNNewsKenya For more great content go to http://www.standardmedia.co.ke/ktnnews and download our apps:http://std.co.ke/apps/#android KTN News is a leading 24-hour TV channel in Eastern Africa with its headquarters located along Mombasa Road, at Standard Group Centre. This is the most authoritative news channel in Kenya and beyond."
